site_slug	display_name	site_release_date	epoch_model	epoch_confidence	aa_slug	aa_confidence	notes
yi-6b-chat	yi-6b-chat	2023-11-23	Yi 6B	exact		none	No AA entry for any 01.AI/Yi model. Epoch's 'Yi 6B' (2023-11-22) is presumably the base model; site's is chat-tuned, but it's the only size-matching candidate.
fable-5	claude-fable-5	2026-06-07	Claude Fable 5	exact	claude-fable-5	exact	Only reasoning variant (max effort).
fable-5-1	claude-fable-5-1	2026-09-01	Claude Fable 5.1	exact	claude-fable-5-1	exact	AA offers max/high/medium/low/xhigh; picked max (top).
haiku-3	haiku-3	2024-03-13	Claude 3 Haiku	exact	claude-3-haiku	exact	
haiku-4-5	haiku-4-5	2025-10-15	Claude Haiku 4.5	exact	claude-4-5-haiku-reasoning	exact	AA splits reasoning/non-reasoning (no effort labels); picked reasoning variant.
opus-3	claude-3-opus-20240229	2024-03-04	Claude 3 Opus	exact	claude-3-opus	exact	
opus-4-0	claude-opus-4.0	2025-05-22	Claude Opus 4	exact	claude-4-opus-thinking	exact	Picked reasoning (thinking) variant over non-reasoning.
opus-4-1	claude-opus-4.1	2025-08-05	Claude Opus 4.1	exact	claude-4-1-opus-thinking	exact	Picked reasoning (thinking) variant.
opus-4-5	claude-opus-4.5	2025-11-24	Claude Opus 4.5	exact	claude-opus-4-5-thinking	exact	Picked reasoning (thinking) variant.
opus-4-6	claude-opus-4.6	2026-02-04	Claude Opus 4.6	exact	claude-opus-4-6-adaptive	exact	Picked adaptive/max-effort variant over high-effort non-reasoning.
opus-4-7	claude-opus-4.7	2026-04-16	Claude Opus 4.7	exact	claude-opus-4-7	exact	Base slug is the max-effort adaptive-reasoning variant; '-non-reasoning' is a separate (high-effort) row.
opus-4-8	claude-opus-4.8	2026-05-28	Claude Opus 4.8	exact	claude-opus-4-8	exact	Only max-effort variant present in AA.
opus-5	opus-5	2026-07-24	Claude Opus 5	exact	claude-opus-5	exact	AA offers max/high/medium/low/xhigh; picked max.
sonnet-4-0	claude-sonnet-4.0	2025-05-22	Claude Sonnet 4	exact	claude-4-sonnet-thinking	exact	Picked reasoning (thinking) variant.
sonnet-4-5	claude-sonnet-4.5	2025-09-29	Claude Sonnet 4.5	exact	claude-4-5-sonnet-thinking	exact	Picked reasoning (thinking) variant.
sonnet-4-6	claude-sonnet-4.6	2026-02-17	Claude Sonnet 4.6	exact	claude-sonnet-4-6-adaptive	exact	Picked adaptive/max-effort variant.
sonnet-5	claude-sonnet-5	2026-06-30	Claude Sonnet 5	exact	claude-sonnet-5	exact	AA offers max/high/medium/low/xhigh/non-reasoning; picked max.
deepseek-chat	deepseek-chat	2024-12-26	DeepSeek-V3	exact	deepseek-v3	exact	
