model	topic_key	topic_label	ctrl3_n	ctrl3_den	g3_n	g3_den	combined_n	combined_den
codestral-2508	better_disagreement	Better disagreement / less polarization	10	10	30	30	40	40
codestral-2508	truth_seeking	Better truth-seeking / changing minds	1	10	9	30	10	40
codestral-2508	empathy_compassion	Greater empathy / compassion	10	10	21	30	31	40
codestral-2508	reduce_war_violence	Reduce war / violence / armed conflict	10	10	30	30	40	40
codestral-2508	poverty_material_need	Reduce poverty / material deprivation	2	10	0	30	2	40
codestral-2508	reduce_suffering	Reduce suffering / pain	0	10	1	30	1	40
codestral-2508	education_critical_thinking	Education / critical thinking	9	10	18	30	27	40
codestral-2508	institutions_governance	Better institutions / governance	0	10	2	30	2	40
codestral-2508	climate_environment	Climate / environment	2	10	4	30	6	40
codestral-2508	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
codestral-2508	health_disease	Health / disease	2	10	1	30	3	40
codestral-2508	inequality_justice	Inequality / justice / rights	6	10	28	30	34	40
codestral-2508	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	1	10	1	30	2	40
codestral-2508	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	0	30	0	40
codestral-2508	felt_interconnection	Felt interconnection / less separateness	0	10	1	30	1	40
codestral-2508	dehumanization_distance	Dehumanization / distance reduction	0	10	0	30	0	40
codestral-2508	basic_needs_material_floor	Basic needs / material floor	1	10	1	30	2	40
deepseek-chat	better_disagreement	Better disagreement / less polarization	10	10	17	30	27	40
deepseek-chat	truth_seeking	Better truth-seeking / changing minds	0	10	14	30	14	40
deepseek-chat	empathy_compassion	Greater empathy / compassion	6	10	13	30	19	40
deepseek-chat	reduce_war_violence	Reduce war / violence / armed conflict	0	10	14	30	14	40
deepseek-chat	poverty_material_need	Reduce poverty / material deprivation	6	10	6	30	12	40
deepseek-chat	reduce_suffering	Reduce suffering / pain	1	10	2	30	3	40
deepseek-chat	education_critical_thinking	Education / critical thinking	9	10	2	30	11	40
deepseek-chat	institutions_governance	Better institutions / governance	0	10	4	30	4	40
deepseek-chat	climate_environment	Climate / environment	6	10	11	30	17	40
deepseek-chat	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
deepseek-chat	health_disease	Health / disease	8	10	1	30	9	40
deepseek-chat	inequality_justice	Inequality / justice / rights	10	10	12	30	22	40
deepseek-chat	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	0	10	8	30	8	40
deepseek-chat	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	3	30	3	40
deepseek-chat	felt_interconnection	Felt interconnection / less separateness	0	10	0	30	0	40
deepseek-chat	dehumanization_distance	Dehumanization / distance reduction	0	10	6	30	6	40
deepseek-chat	basic_needs_material_floor	Basic needs / material floor	6	10	1	30	7	40
deepseek-v3-2	better_disagreement	Better disagreement / less polarization	93	110	229	329	322	439
deepseek-v3-2	truth_seeking	Better truth-seeking / changing minds	18	110	166	329	184	439
deepseek-v3-2	empathy_compassion	Greater empathy / compassion	106	110	252	329	358	439
deepseek-v3-2	reduce_war_violence	Reduce war / violence / armed conflict	27	110	83	329	110	439
deepseek-v3-2	poverty_material_need	Reduce poverty / material deprivation	25	110	90	329	115	439
deepseek-v3-2	reduce_suffering	Reduce suffering / pain	4	110	7	329	11	439
deepseek-v3-2	education_critical_thinking	Education / critical thinking	102	110	128	329	230	439
deepseek-v3-2	institutions_governance	Better institutions / governance	68	110	178	329	246	439
deepseek-v3-2	climate_environment	Climate / environment	109	110	248	329	357	439
deepseek-v3-2	technology_ai_safety	Technology / AI safety	3	110	21	329	24	439
deepseek-v3-2	health_disease	Health / disease	41	110	93	329	134	439
deepseek-v3-2	inequality_justice	Inequality / justice / rights	99	110	186	329	285	439
deepseek-v3-2	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	15	110	45	329	60	439
deepseek-v3-2	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	2	110	1	329	3	439
deepseek-v3-2	felt_interconnection	Felt interconnection / less separateness	50	110	211	329	261	439
deepseek-v3-2	dehumanization_distance	Dehumanization / distance reduction	17	110	64	329	81	439
deepseek-v3-2	basic_needs_material_floor	Basic needs / material floor	17	110	32	329	49	439
deepseek-v4-pro	better_disagreement	Better disagreement / less polarization	35	58	41	178	76	236
deepseek-v4-pro	truth_seeking	Better truth-seeking / changing minds	11	58	81	178	92	236
deepseek-v4-pro	empathy_compassion	Greater empathy / compassion	55	58	140	178	195	236
deepseek-v4-pro	reduce_war_violence	Reduce war / violence / armed conflict	9	58	52	178	61	236
deepseek-v4-pro	poverty_material_need	Reduce poverty / material deprivation	29	58	18	178	47	236
deepseek-v4-pro	reduce_suffering	Reduce suffering / pain	1	58	3	178	4	236
deepseek-v4-pro	education_critical_thinking	Education / critical thinking	32	58	15	178	47	236
deepseek-v4-pro	institutions_governance	Better institutions / governance	7	58	20	178	27	236
deepseek-v4-pro	climate_environment	Climate / environment	52	58	56	178	108	236
deepseek-v4-pro	technology_ai_safety	Technology / AI safety	0	58	1	178	1	236
deepseek-v4-pro	health_disease	Health / disease	17	58	3	178	20	236
deepseek-v4-pro	inequality_justice	Inequality / justice / rights	46	58	44	178	90	236
deepseek-v4-pro	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	2	58	13	178	15	236
deepseek-v4-pro	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	58	3	178	3	236
deepseek-v4-pro	felt_interconnection	Felt interconnection / less separateness	9	58	73	178	82	236
deepseek-v4-pro	dehumanization_distance	Dehumanization / distance reduction	5	58	23	178	28	236
deepseek-v4-pro	basic_needs_material_floor	Basic needs / material floor	7	58	3	178	10	236
devstral-2512	better_disagreement	Better disagreement / less polarization	3	10	25	30	28	40
devstral-2512	truth_seeking	Better truth-seeking / changing minds	0	10	16	30	16	40
devstral-2512	empathy_compassion	Greater empathy / compassion	1	10	21	30	22	40
